	0
YDL165W_fc	1
YDL167C_fc	1
YDL168W_fc	1
YDL169C_fc	1
YDL170W_fc	1
YDL171C_fc	1
YDL171C_fc_intermediate_1	1
YDL174C_fc	1
YDL174C_fc_intermediate_1	1
YDL174C_fc_intermediate_2	1
YDL178W_fc	1
YDL179W_fc	1
YDL180W_fc	1
YDL181W_fc	1
YDL182W_fc	1
YDL182W_fc_andNotIntermediate	1
YDL182W_fc_intermediate_1	1
YDL182W_fc_intermediate_2	1
YDL182W_fc_intermediate_3	1
YDL184C_fc	1
YDL185W_fc	1
YDL188C_fc	1
YDL190C_fc	1
YDL191W_fc	1
YDL192W_fc	1
YDL193W_fc	1
YDL195W_fc	1
YDL198C_fc	1
YDL198C_fc_intermediate_1	1
YDL201W_fc	1
YDL204W_fc	1
YDL207W_fc	1
YDL208W_fc	1
YDL208W_fc_intermediate_1	1
YDL212W_fc	1
YDL213C_fc	1
YDL215C_fc	1
YDL215C_fc_intermediate_1	1
YDL215C_fc_intermediate_2	1
YDL217C_fc	1
YDL224C_fc	1
YDL226C_fc	1
YDL229W_fc	1
YDL232W_fc	1
YDL235C_fc	1
YDL236W_fc	1
YDL237W_fc	1
YDR001C_fc	1
YDR001C_fc_intermediate_1	1
YDR002W_fc	1
YDR005C_fc	1
YDR006C_fc	1
YDR011W_fc	1
YDR011W_fc_intermediate_1	1
YDR011W_fc_intermediate_2	1
YDR012W_fc	1
YDR019C_fc	1
YDR023W_fc	1
YDR025W_fc	1
YDR028C_fc	1
YDR031W_fc	1
YDR032C_fc	1
YDR033W_fc	1
YDR033W_fc_andNotIntermediate	1
YDR033W_fc_intermediate_1	1
YDR033W_fc_intermediate_2	1
YDR033W_fc_intermediate_3	1
YDR034C_fc	1
YDR035W_fc	1
YDR037W_fc	1
YDR037W_fc_andNotIntermediate	1
YDR037W_fc_intermediate_1	1
YDR041W_fc	1
YDR041W_fc_intermediate_1	1
YDR041W_fc_intermediate_2	1
YDR041W_fc_intermediate_3	1
YDR043C_fc	1
YDR043C_fc_intermediate_1	1
YDR043C_fc_intermediate_2	1
YDR044W_fc	1
YDR044W_fc_intermediate_1	1
YDR045C_fc	1
YDR047W_fc	1
YDR050C_fc	1
YDR051C_fc	1
YDR055W_fc	1
YDR055W_fc_andNotIntermediate	1
YDR055W_fc_intermediate_1	1
YDR055W_fc_intermediate_2	1
YDR055W_fc_intermediate_3	1
YDR059C_fc	1
YDR060W_fc	1
YDR061W_fc	1
YDR062W_fc	1
YDR063W_fc	1
YDR064W_fc	1
YDR064W_fc_intermediate_1	1
YDR067C_fc	1
YDR068W_fc	1
YDR070C_fc	1
YDR071C_fc	1
YDR072C_fc	1
YDR072C_fc_intermediate_1	1
YDR072C_fc_intermediate_2	1
YDR073W_fc	1
YDR073W_fc_andNotIntermediate	1
YDR073W_fc_intermediate_1	1
YDR073W_fc_intermediate_2	1
YDR074W_fc	1
YDR075W_fc	1
YDR077W_fc	1
YDR077W_fc_intermediate_1	1
YDR077W_fc_intermediate_2	1
YDR077W_fc_intermediate_3	1
YDR078C_fc	1
YDR079W_fc	1
YDR084C_fc	1
YDR084C_fc_intermediate_1	1
YDR086C_fc	1
YDR086C_fc_intermediate_1	1
YDR086C_fc_intermediate_2	1
YDR086C_fc_intermediate_3	1
YDR088C_fc	1
YDR090C_fc	1
YDR091C_fc	1
YDR092W_fc	1
YDR098C_fc	1
YDR098C_fc_intermediate_1	1
YDR098C_fc_intermediate_2	1
YDR099W_fc	1
YDR100W_fc	1
YDR101C_fc	1
YDR105C_fc	1
YDR111C_fc	1
YDR116C_fc	1
YDR119W_fc	1
YDR120C_fc	1
YDR122W_fc	1
YDR123C_fc	1
YDR127W_fc	1
YDR129C_fc	1
YDR135C_fc	1
YDR139C_fc	1
YDR142C_fc	1
YDR143C_fc	1
YDR144C_fc	1
YDR146C_fc	1
YDR148C_fc	1
YDR150W_fc	1
YDR151C_fc	1
YDR152W_fc	1
YDR155C_fc	1
YDR155C_fc_intermediate_1	1
YDR155C_fc_intermediate_2	1
YDR156W_fc	1
YDR156W_fc_andNotIntermediate	1
YDR156W_fc_intermediate_1	1
YDR156W_fc_intermediate_2	1
YDR158W_fc	1
YDR165W_fc	1
